Provincias,Año,Mes,Turistas_totales
Alicante/Alacant,2002,9,102532.0
Alicante/Alacant,2002,10,93840.0
Alicante/Alacant,2002,11,82460.0
Alicante/Alacant,2002,12,66427.0
Alicante/Alacant,2003,1,69430.0
Alicante/Alacant,2003,2,76532.0
Alicante/Alacant,2003,3,104273.0
Alicante/Alacant,2003,4,114100.0
Alicante/Alacant,2003,5,130861.0
Alicante/Alacant,2003,6,122635.0
Alicante/Alacant,2003,7,128392.0
Alicante/Alacant,2003,8,119010.0
Alicante/Alacant,2003,9,118185.0
Alicante/Alacant,2003,10,116578.0
Alicante/Alacant,2003,11,78238.0
Alicante/Alacant,2003,12,62969.0
Alicante/Alacant,2004,1,68333.0
Alicante/Alacant,2004,2,81898.0
Alicante/Alacant,2004,3,98336.0
Alicante/Alacant,2004,4,99909.0
Alicante/Alacant,2004,5,115263.0
Alicante/Alacant,2004,6,99686.0
Alicante/Alacant,2004,7,93073.0
Alicante/Alacant,2004,8,107269.0
Alicante/Alacant,2004,9,111046.0
Alicante/Alacant,2004,10,107316.0
Alicante/Alacant,2004,11,83317.0
Alicante/Alacant,2004,12,67176.0
Alicante/Alacant,2005,1,72241.0
Alicante/Alacant,2005,2,83552.0
Alicante/Alacant,2005,3,101210.0
Alicante/Alacant,2005,4,99429.0
Alicante/Alacant,2005,5,120546.0
Alicante/Alacant,2005,6,126759.0
Alicante/Alacant,2005,7,120588.0
Alicante/Alacant,2005,8,129111.0
Alicante/Alacant,2005,9,132056.0
Alicante/Alacant,2005,10,108887.0
Alicante/Alacant,2005,11,89912.0
Alicante/Alacant,2005,12,82647.0
Alicante/Alacant,2006,1,91405.0
Alicante/Alacant,2006,2,80975.0
Alicante/Alacant,2006,3,114270.0
Alicante/Alacant,2006,4,118972.0
Alicante/Alacant,2006,5,145046.0
Alicante/Alacant,2006,6,135687.0
Alicante/Alacant,2006,7,137507.0
Alicante/Alacant,2006,8,137948.0
Alicante/Alacant,2006,9,143259.0
Alicante/Alacant,2006,10,130430.0
Alicante/Alacant,2006,11,120343.0
Alicante/Alacant,2006,12,88427.0
Alicante/Alacant,2007,1,80210.0
Alicante/Alacant,2007,2,85344.0
Alicante/Alacant,2007,3,106211.0
Alicante/Alacant,2007,4,109237.0
Alicante/Alacant,2007,5,136407.0
Alicante/Alacant,2007,6,135204.0
Alicante/Alacant,2007,7,140886.0
Alicante/Alacant,2007,8,144571.0
Alicante/Alacant,2007,9,139579.0
Alicante/Alacant,2007,10,122013.0
Alicante/Alacant,2007,11,98889.0
Alicante/Alacant,2007,12,78259.0
Alicante/Alacant,2008,1,77814.0
Alicante/Alacant,2008,2,85407.0
Alicante/Alacant,2008,3,107840.0
Alicante/Alacant,2008,4,115400.0
Alicante/Alacant,2008,5,133980.0
Alicante/Alacant,2008,6,125416.0
Alicante/Alacant,2008,7,133392.0
Alicante/Alacant,2008,8,143815.0
Alicante/Alacant,2008,9,136590.0
