ID,Total_nacional,Comunidades_ciudades_autonomas,Provincias,Tipo_turista,Turistas_totales,Año,Mes,Temporada,Outliers_zscore
-419570950905557421,No aplica,Andalucía,Almería,Viajero,13251.0,2012,10,Otoño,False
473389440408124161,No aplica,Andalucía,Almería,Viajero,22424.0,2012,9,Otoño,False
6581230242621593491,No aplica,Andalucía,Almería,Viajero,22802.0,2012,8,Verano,False
9222869028413328772,No aplica,Andalucía,Almería,Viajero,22598.0,2012,7,Verano,False
2472551020362181572,No aplica,Andalucía,Almería,Viajero,20527.0,2012,6,Verano,False
7116421713784117485,No aplica,Andalucía,Almería,Viajero,13953.0,2012,5,Primavera,False
2640153445016648131,No aplica,Andalucía,Almería,Viajero,10177.0,2012,4,Primavera,False
1147255266938346384,No aplica,Andalucía,Almería,Viajero,10710.0,2012,3,Primavera,False
-4410611701190445461,No aplica,Andalucía,Almería,Viajero,7740.0,2012,2,Invierno,False
8028225414994525253,No aplica,Andalucía,Almería,Viajero,6389.0,2012,1,Invierno,False
5825589120698407664,No aplica,Andalucía,Almería,Viajero,5622.0,2011,12,Invierno,False
6445263753738287585,No aplica,Andalucía,Almería,Viajero,6474.0,2011,11,Otoño,False
-6044010734497299507,No aplica,Andalucía,Almería,Viajero,14734.0,2011,10,Otoño,False
1880763257467710186,No aplica,Andalucía,Almería,Viajero,21594.0,2011,9,Otoño,False
-4775384954042092161,No aplica,Andalucía,Almería,Viajero,21230.0,2011,8,Verano,False
-7514353355417568469,No aplica,Andalucía,Almería,Viajero,22102.0,2011,7,Verano,False
-5778109698387195595,No aplica,Andalucía,Almería,Viajero,20110.0,2011,6,Verano,False
2479856795104697598,No aplica,Andalucía,Almería,Viajero,14840.0,2011,5,Primavera,False
5732380228565089071,No aplica,Andalucía,Almería,Viajero,13577.0,2011,4,Primavera,False
8708384961456180234,No aplica,Andalucía,Almería,Viajero,8620.0,2011,3,Primavera,False
1743640726560313737,No aplica,Andalucía,Almería,Viajero,6520.0,2011,2,Invierno,False
-721722908177305200,No aplica,Andalucía,Almería,Viajero,5254.0,2011,1,Invierno,False
-3657235044505939363,No aplica,Andalucía,Almería,Viajero,5387.0,2010,12,Invierno,False
3412426600934340367,No aplica,Andalucía,Almería,Viajero,7081.0,2010,11,Otoño,False
-7263976707757548651,No aplica,Andalucía,Almería,Viajero,14585.0,2010,10,Otoño,False
-210857843254081844,No aplica,Andalucía,Almería,Viajero,17820.0,2010,9,Otoño,False
-5585968140586162198,No aplica,Andalucía,Almería,Viajero,18539.0,2010,8,Verano,False
38713508065867104,No aplica,Andalucía,Almería,Viajero,17428.0,2010,7,Verano,False
